"","date","collar","time","lat","long"
"1","2016-02-26","C3",2016-02-26 00:00:00,23.6461294650143,-32.982155569816
"2","2016-02-26","C3",2016-02-26 01:00:00,23.6567088687585,-33.4086185134253
"3","2016-02-26","C3",2016-02-26 02:00:00,23.2942981551776,-34.0464407481224
"4","2016-02-26","C3",2016-02-26 03:00:00,24.4273631149967,-33.202944339912
"5","2016-02-26","C3",2016-02-26 04:00:00,23.9987301832675,-32.291504794404
"6","2016-02-26","C3",2016-02-26 05:00:00,22.2676984238494,-32.4373075955713
"7","2016-02-26","C3",2016-02-26 06:00:00,21.4499580396368,-32.0469923989902
"8","2016-02-26","C3",2016-02-26 07:00:00,22.0269763056628,-32.2422372945153
"9","2016-02-26","C3",2016-02-26 08:00:00,22.458480642611,-32.2838845501764
"10","2016-02-26","C3",2016-02-26 09:00:00,21.7957943102876,-31.8629138198551
"11","2016-02-26","C3",2016-02-26 10:00:00,21.0385481694469,-32.167230629607
"12","2016-02-26","C3",2016-02-26 11:00:00,20.0215978522145,-32.3544559547005
"13","2016-02-26","C3",2016-02-26 12:00:00,20.8878607739249,-32.4138318668347
"14","2016-02-26","C3",2016-02-26 13:00:00,21.3702637931649,-33.6573049002788
"15","2016-02-26","C3",2016-02-26 14:00:00,20.0114451476419,-35.3298137692711
"16","2016-02-26","C3",2016-02-26 15:00:00,20.6776119320637,-34.0060091478619
"17","2016-02-26","C3",2016-02-26 16:00:00,19.7091488293775,-32.967919971753
"18","2016-02-26","C3",2016-02-26 17:00:00,19.7931203598869,-33.0621368805424
"19","2016-02-26","C3",2016-02-26 18:00:00,20.0295980604558,-32.8150291419572
"20","2016-02-26","C3",2016-02-26 19:00:00,20.4926183113804,-31.7877232445952
"21","2016-02-26","C3",2016-02-26 20:00:00,21.633530921048,-30.274162741867
"22","2016-02-26","C3",2016-02-26 21:00:00,20.899278412088,-30.1083368709174
"23","2016-02-26","C3",2016-02-26 22:00:00,20.5387961998874,-31.9179812967028
"24","2016-02-26","C3",2016-02-26 23:00:00,20.9757917069593,-32.036524530442
