"","date","collar","time","lat","long"
"1","2016-02-26","F6",2016-02-26 00:00:00,24.5092483168746,-34.0099088625239
"2","2016-02-26","F6",2016-02-26 01:00:00,24.670122964011,-33.3338332306624
"3","2016-02-26","F6",2016-02-26 02:00:00,25.9004188337878,-34.9687310403765
"4","2016-02-26","F6",2016-02-26 03:00:00,26.4376539411573,-34.9200899489406
"5","2016-02-26","F6",2016-02-26 04:00:00,26.6917768293806,-33.8608939098086
"6","2016-02-26","F6",2016-02-26 05:00:00,28.1418028193242,-33.4036101469241
"7","2016-02-26","F6",2016-02-26 06:00:00,29.0858115722696,-33.4866697164003
"8","2016-02-26","F6",2016-02-26 07:00:00,30.0589051559461,-33.8001488685266
"9","2016-02-26","F6",2016-02-26 08:00:00,30.7212616416681,-35.0713899802558
"10","2016-02-26","F6",2016-02-26 09:00:00,30.2015730110666,-36.0841119214666
"11","2016-02-26","F6",2016-02-26 10:00:00,30.4028548343033,-35.826511355852
"12","2016-02-26","F6",2016-02-26 11:00:00,29.5130913425854,-34.5209618803205
"13","2016-02-26","F6",2016-02-26 12:00:00,29.8905009148711,-33.9434817836678
"14","2016-02-26","F6",2016-02-26 13:00:00,29.1408731142675,-32.6830935783248
"15","2016-02-26","F6",2016-02-26 14:00:00,28.9258553956643,-32.4486892449415
"16","2016-02-26","F6",2016-02-26 15:00:00,29.4420040351566,-31.4469847764198
"17","2016-02-26","F6",2016-02-26 16:00:00,28.2571321270516,-31.3139804423317
"18","2016-02-26","F6",2016-02-26 17:00:00,27.1663012936057,-31.5728350233937
"19","2016-02-26","F6",2016-02-26 18:00:00,27.9337688854116,-29.8177485973851
"20","2016-02-26","F6",2016-02-26 19:00:00,28.9332236436804,-30.0896951511318
"21","2016-02-26","F6",2016-02-26 20:00:00,30.8837429196925,-31.3272191290335
"22","2016-02-26","F6",2016-02-26 21:00:00,28.6890209349547,-31.0199486479117
"23","2016-02-26","F6",2016-02-26 22:00:00,27.7107060475425,-31.3847913511279
"24","2016-02-26","F6",2016-02-26 23:00:00,27.8512361588594,-30.4187064348918
